MATERIAL_NUMBER,MATERIAL_DESCRIPTION
000000007551509529,PC Vit.D total Gen2 Elecsys Level 1
000000008507520529,ASD Elecsys Cal 2
000000009290087529,SARS-CoV2-S Elecsys MK F5
000000005448522001,TRIG GB Mod PD F1a 11877780 Lyo
000000010674342967,Ab42p cRUO Elecsys MVR 0-Stand Cal
000000010189657529,cMyBP-C Elecsys Ctr 3
000000009831061529,<HBs> Gen3 E2G 100 R2
000000006526195529,TG Gen2 Elecsys CalCheck F5
000000006979831529,Abeta42 Elecsys R2
000000005898536001,CK-MB Gen4 Elecsys MK F2
000000008850798529,Abeta42 Gen2 Elecsys MK F1
000000008143943529,PIVKA-II E2G 300 R2
000000009487271529,PC HTLV Elecsys Level 0 lq
000000008431213001,Biotin MK F2
000000006219527001,VIT.D (25-OH) total Elecsys F4 MK
000000008178585529,Zika IgG Elecsys R1
000000006980015001,Abeta42 Elecsys MK F4
000000012214733001,TG Elecsys Conf Best.-R.
000000005887623001,HE4 Elecsys MK F5
000000006863884001,AMH Elecsys MK F3
000000009028633529,T4 Gen2 Elecsys R1 V2
000000007936648001,Parvo B19 Elecsys PT1
000000010673761967,YKL 40 cRUO Elecsys MVR R1
000000008774625529,free PSA II E2G 300 R2 V2
000000004681380001,PROL Gen2 Elecsys F2 ML
000000008228990001,PTH Gen2 Elecsys MK F4
000000012137437001,HIV-COMBI Elecsys F1 ML
000000009042784529,Vit.D total Gen3 E2G 300 R1
000000005022479001,<CCP> Elecsys F4 MK
000000007469446529,IGF-1 Elecsys CalCheck F5
000000009085050529,PRO-C3 Elecsys MK F6
000000006512151529,Cort Gen2 Elecsys R1
000000010674377967,Ab42p cRUO Elecsys Bulk Cal 1
000000007152922529,HTLV Elecsys R2 (200er)
000000009606165001,ApoE4 Elecsys MK F2
000000005963419001,HGH Elecsys MK F5
000000008259631529,Zika IgG Elecsys MK F5
000000008923183529,IL6 E2G 100 R2 V2
000000008431205529,Biotin MK F1
000000009609130529,FT3 Gen3 E2G 100 R2 V2
000000010675322967,YKL 40 cRUO Elecsys MVR Sto-Lsg MK
000000011835645001,Elecsys Cell Check (MBF)
000000009304428001,HBeAg Elecsys F7 ML
000000009606998529,Cort Gen3 Elecsys CalCheck F5  Serum
000000006979823529,Abeta42 Elecsys R1
000000012205432001,Insulin Elecsys F2 ML
000000003139778001,<HCV> Elecsys R1b Re-Me f. R1a
000000007734948001,CRP QC-Serum HS F4
000000012237342529,Elecsys DHEAS R1
000000007358563001,pTau Elecsys MK F4
000000004817273001,TG Gen2 Elecsys F2 ML
000000009608834529,T3 E2G 100 R2 V2
000000004473051001,TSH Gen.2 Elecsys F4 ML
000000009684662001,PG I Elecsys Bulk MK F2
000000009449132001,PCT Gen2 Elecsys IKP F2
000000009051287529,ACTH Elecsys R2 V2
000000010339136529,ApoE4 Gen2 Elecsys MK F5
000000012046849001,CA 125 Elecsys F6 ML
000000005200504001,TROPONIN I Elecsys IKP F4
000000010674601967,Ab42p cRUO Elecsys MK F5
000000009751866529,pT181p Elecsys MK F1
000000004478444001,T3 Gen2 Elecsys F4 ML
000000005101018001,IL6 Elecsys MK F3
000000005200555001,TROPONIN I Elecsys IKP F8
000000005142784001,PLGF Elecsys F3 MK
000000009489703529,TNT Gen6 Elecsys Ctr 3
000000007900864529,Active B12 Elecsys R1
000000012237636001,<HAV>IgM Elecsys F1 ML
000000007110251001,SCC Elecsys MK F2
000000009684719001,PG I Elecsys Bulk MK F5
000000008850852529,Abeta42 Gen2 Elecsys MK F5
000000007900031529,Active B12 Elecsys Ctr 1
000000011752413001,Elecsys FT4 R1
000000005879426001,C-PEPTIDE Elecsys CalCheck F1
000000005343879001,TESTO Gen2 Elecsys F9 MK
000000008951667529,PCT Gen2 Elecsys MK F1
000000007547269001,Chagas Elecsys MK F3
000000004877497529,PAPP-A Elecsys MK F4
000000008754462001,HCV Duo M1 Elecsys MK F5
000000007946287001,PCT Elecsys IKP F10 QC
000000010166223529,Dengue IgM Elecsys Ctr 2
000000009607480529,Cort Gen3 Elecsys CalCheck F4 Urin
000000009881182529,IgE Gen2 Elecsys MK F5
000000010350296529,ApoE4 Gen2 Elecsys Ctr 1
000000007178956001,HTLV Elecsys MK F5
000000009751882529,pT181p Elecsys MK F3
000000007305001001,POSTN V2 Elecsys MK F5
000000008779414529,AFP-L3 E2G 100 R1
000000012151901001,B-CL Elecsys ML 1
000000010674415967,Ab42p cRUO Elecsys MVR 0-Stand Ctr
000000009687882529,iTDM-C cobas MS LeadCal F3
000000012214423001,CA 72-4 Elecsys F1 ML
000000008259623529,Zika IgG Elecsys MK F4
000000012151812529,B-CL Elecsys R1
000000007305044529,SA Coat-Bead Elecsys POSTN V2
000000007230079001,<HBs> Gen2 E2G 300 R1
000000007660081529,HIV Duo M1 Elecsys Cal 2
000000007230095001,<HBs> Gen2 E2G 300 R2
000000011963562529,<HBc>IgM Elecsys Cal 2 pos
000000004489101001,proBNP TS Ctr. low / Level 1
000000010081856529,DHEAS Gen2 Elecsys MK F5
000000004538102001,<TG> Gen.2 Elecsys F1 ML
000000005200547001,TROPONIN I Elecsys IKP F7
000000008951730001,PCT Gen2 Elecsys MK F4
000000009290044529,SARS-CoV2-S Elecsys R1 (200er)
000000003115135001,P1NP Elecsys F5 ML
000000008806454001,AFP-L3 Elecsys MK F2
000000008806349529,AFP-L3 Elecsys Cal 2
000000011897012001,Elecsys HBsAg  R1
000000009025626529,<HEV> IgG Elecsys CalCheck F2
000000009411259529,Cort Gen3 Elecsys R1
000000009606157529,ApoE4 Elecsys MK F1
000000008922900529,HCG STAT II E2G 100 R2 V2
000000009734686529,GDF-15 RxDx E2G 100 R2
000000007747292529,pTau Elecsys CC F2
000000009698353529,HCV Duo M1 E2G 100 R2
000000007228287001,TROP-T HS E2G 300 R2
000000006863957001,AMH Elecsys MK F8
000000009120602529,HSV-1 IGG Elecsys R2 V2
000000008714070001,EBV VCA IgG Elecsys MK F4
000000010286687529,pT217p Elecsys MK F4
000000007546572529,SA Coat-Bead Elecsys Chagas
000000009867228001,Gastrin 17 Elecsys MK F5
000000008368899529,EBV IgM E2G 300 R1
000000008806489001,AFP-L3 Elecsys MK F4
000000008850755529,Abeta42 Gen2 Elecsys Ctr 2
000000010674652967,NPTX 2 cRUO Elecsys MVR R1
000000009930418529,NFL Elecsys Ctr 3
000000011813269001,Prog Elecsys V-low
000000009174729529,HSV-2 IGG Elecsys R2 V2
000000007110359529,SCC Elecsys CalCheck F2
000000008806616529,PC HCC Elecsys Level 1 V2
000000008379432529,HIV COMBI PT Elecsys Cal 1 Lyo
000000011198866001,PN-HDL REFLO F2
000000008908087529,<TPO> Gen2 Elecsys Cal 2 V2
000000009232184529,PIVKA-II Elecsys R2 V2
000000009397566529,Cort Gen3 Elecsys MK F2 Urin
000000009843787529,NFL Elecsys MK F4
000000007231865529,PROL Gen2.1 E2G 100 R2
000000009556036529,FSH Elecsys V-medium V2
000000004681711001,ACTH Elecsys F4 MK
000000008710651529,EBV EBNA IgG Elecsys MK F6
000000012237679001,<HAV>IgM Elecsys F4 ML
000000004817303001,TG Gen2 Elecsys F5 ML
000000010219327529,TnI hs Elecsys MK F1
000000009843809529,NFL Elecsys MK F5
000000009721720529,HIV Duo Gen2 M2 E2G 300 R2
000000005054176001,<CMV> IGM Elecsys F4 MK
000000009874275529,CA 50 Elecsys MK F5
000000007216564529,B12 E2G 100 R1 V2
000000009606980529,Cort Gen3 Elecsys CalCheck F4  Serum
